2025-08-27T00:00:00.415+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:00.428+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:01.329+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:01.329+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:02.309+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:02.309+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:03.345+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:03.345+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:04.326+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:04.326+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:05.547+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:05.547+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:06.763+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:06.763+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:07.981+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
2025-08-27T00:00:07.981+05:30  WARN 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-08-27T00:00:09.201+05:30  INFO 21292 --- [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-userinfo-consumer-group-1, groupId=userinfo-consumer-group] Node 1 disconnected.
